SUMLEV,COUNTY,PLACE,TRACT,BLOCK,UA,UATYPE,ZCTA,SDELM,SDSEC,SDUNI,POP100,HU100,INTPTLAT,INTPTLON,tot_pop,one_race,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,two_races,three_races,four_races,five_races,six_races
140,015,,760502,,,,,,,,5311,2457,29.9392913,-96.1788738,5311,4715,3475,624,43,37,0,536,596,0,1,0,0
140,017,,950101,,,,,,,,4002,1532,34.2207336,-102.7793226,4002,3239,1788,33,45,11,0,1362,763,0,0,0,0
140,017,,950102,,,,,,,,2902,1214,34.0675209,-102.8303446,2902,2314,1560,32,41,0,0,681,588,2,3,0,0
140,019,,000101,,,,,,,,4705,2403,29.6779077,-99.1456783,4705,4140,3868,20,23,25,3,201,565,0,5,0,0
140,019,,000103,,,,,,,,3913,2003,29.7728169,-99.1030498,3913,3412,3145,28,16,15,1,207,501,0,1,0,0
140,019,,000104,,,,,,,,1259,614,29.761212,-98.9319693,1259,1134,1093,3,9,6,0,23,125,0,2,0,0
140,019,,000200,,,,,,,,2394,1690,29.7598376,-99.3924167,2394,2130,2070,9,13,5,2,31,264,0,0,0,0
140,019,,000301,,,,,,,,3304,1810,29.6507409,-99.0013739,3304,2859,2632,24,39,17,3,144,445,0,3,0,0
140,019,,000302,,,,,,,,3067,1348,29.6563843,-98.8874609,3067,2696,2512,12,30,15,6,121,371,0,1,0,0
140,019,,000400,,,,,,,,2209,1532,29.5774809,-98.9611742,2209,1968,1790,14,27,14,0,123,241,0,0,0,0
140,021,,950101,,,,,,,,5554,2119,30.2381713,-97.4045654,5554,4290,3120,179,55,28,1,907,1264,0,1,0,0
140,021,,950102,,,,,,,,6373,2363,30.3251293,-97.2679454,6373,5182,3609,232,77,24,1,1239,1191,0,3,0,0
140,021,,950201,,,,,,,,3299,1219,30.3527045,-97.3586342,3299,2647,1269,487,28,7,0,856,652,0,0,0,0
140,021,,950202,,,,,,,,5631,1997,30.3553589,-97.3937058,5631,4668,2588,872,73,25,2,1108,963,2,1,0,0
140,021,,950301,,,,,,,,5236,2113,30.1352311,-97.3917681,5236,4385,3577,254,50,92,4,408,851,2,0,0,0
140,021,,950302,,,,,,,,4729,1899,30.0349125,-97.3634216,4729,4020,3080,411,62,117,10,340,709,3,1,0,0
140,021,,950303,,,,,,,,7638,2936,30.0994351,-97.4743167,7638,6218,4003,538,136,89,4,1448,1420,1,3,0,0
140,021,,950401,,,,,,,,5226,2445,30.1291497,-97.3102032,5226,4515,3331,625,71,62,1,425,711,4,0,0,0
140,021,,950402,,,,,,,,2390,1046,30.0845361,-97.2867273,2390,2100,1889,73,20,34,7,77,290,3,1,0,0
140,021,,950403,,,,,,,,3159,1190,30.0913504,-97.3219866,3159,2768,2207,201,23,68,5,264,391,0,0,0,0
140,021,,950503,,,,,,,,4028,1787,30.1348699,-97.1703739,4028,3512,3057,88,52,23,29,263,516,0,1,0,0
140,021,,950504,,,,,,,,3923,1580,30.2180767,-97.1815879,3923,3325,2686,77,44,28,0,490,598,0,1,0,0
